№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
226474,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОЛЖЬЕ-К""",Малое предприятие,1027600623995,7603000500,76 - Ярославская область,г Ярославль,2016-01-08,Нет,Нет,Нет,27.0,11497,39532,66265,81480,123743
226530,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАГОРОДНЫЙ ДОМ""",Малое предприятие,1027700207336,7707109710,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,12.0,,53299,50301,121052,103556
226691,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАД СЕРВИС""",Малое предприятие,1107610001938,7610087301,76 - Ярославская область,г Рыбинск,2016-01-08,Нет,Нет,Нет,79.0,57307,55924,55699,56446,57610
226694,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАД СТРОЙ""",Малое предприятие,1107610001927,7610087291,76 - Ярославская область,г Рыбинск,2016-01-08,Нет,Нет,Нет,77.0,33150,45255,47214,47002,45499
226732,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАД""",Среднее предприятие,1077327002092,7327041840,73 - Ульяновская область,г Ульяновск,2016-01-08,Нет,Нет,Нет,0.0,432229,82532,2176,36959,28536
226754,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Малое предприятие,1113926033946,3906246680,39 - Калининградская область,г Калининград,2016-01-08,Нет,Нет,Нет,85.0,137238,182080,147561,313727,331449
226756,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Среднее предприятие,1023902270700,3923003260,50 - Московская область,,2023-10-07,Нет,Нет,Нет,24.0,883796,1708140,2353260,1085493,952512
226761,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДНАЯ СТРОИТЕЛЬНО-МОНТАЖНАЯ КОМПАНИЯ""",Малое предприятие,1033901810909,3905052226,39 - Калининградская область,г Калининград,2016-01-08,Да,Нет,Нет,3.0,0,219728,47476,0,
226770,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДНО-СИБИРСКАЯ КОМПАНИЯ ИНЖЕНЕРНЫХ ИЗЫСКАНИЙ И ПРОЕКТИРОВАНИЯ""",Малое предприятие,1047200574959,7202124594,72 - Тюменская область,г Тюмень,2016-01-08,Да,Нет,Нет,47.0,225304,133343,69985,81094,123559
226781,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДНО-СИБИРСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЛИДЕР""",Малое предприятие,1118605001206,8605023417,86 - Ханты-Мансийский автономный округ - Югра,г Покачи,2016-01-08,Нет,Нет,Нет,3.0,608405,219799,219799,219799,
