№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
380642,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК""",Малое предприятие,1163443072110,3435126766,34 - Волгоградская область,г Волжский,2016-01-08,Нет,Нет,Нет,13.0,9859446
380657,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМК""",Среднее предприятие,1167154074570,7130031154,37 - Ивановская область,г Кохма,2016-10-10,Нет,Нет,Нет,0.0,9915463
380669,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМКМОНТАЖ""",Малое предприятие,1215000011269,5074068108,50 - Московская область,г Подольск,2021-10-03,Нет,Нет,Нет,76.0,
380729,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМОЛЕНСКТЕПЛОКОР""",Малое предприятие,1056700009497,6724007097,67 - Смоленская область,г Десногорск,2016-01-08,Да,Нет,Нет,35.0,2699666
380738,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМОЛМЕДИАГРУПП67""",Малое предприятие,1116732016147,6732029538,67 - Смоленская область,г Смоленск,2016-01-08,Нет,Нет,Нет,36.0,1351729
380845,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМП-10""",Малое предприятие,1020300973076,323028028,03 - Республика Бурятия,г Улан-Удэ,2017-10-03,Нет,Нет,Нет,24.0,6698444
380872,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМП-69""",Малое предприятие,1180327008960,326561812,03 - Республика Бурятия,г Улан-Удэ,2018-10-09,Нет,Нет,Нет,23.0,10757415
380937,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМР ГРУПП""",Малое предприятие,1217700227095,9704064952,77 - г.Москва,,2023-10-05,Нет,Нет,Нет,0.0,11590103
380955,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМР-1""",Малое предприятие,1146182001283,6155069599,61 - Ростовская область,,2023-10-09,Нет,Нет,Нет,18.0,8523701
380967,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМР-ГРУПП""",Малое предприятие,1184704011194,4703157683,47 - Ленинградская область,,2018-10-09,Нет,Нет,Нет,13.0,10759048
381043,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМТ-17""",Малое предприятие,1196733011188,6732180850,67 - Смоленская область,г Смоленск,2019-10-07,Нет,Нет,Нет,1.0,11048737
381105,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ ""РОДНАЯ ГАВАНЬ""",Малое предприятие,1159204001923,9201503106,50 - Московская область,г Красногорск,2016-01-08,Нет,Нет,Нет,18.0,9041758
381132,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ 13""",Малое предприятие,5177746387957,9710046447,77 - г.Москва,,2018-10-01,Да,Нет,Нет,8.0,10500715
381211,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ 83""",Малое предприятие,1206900006246,6952319049,69 - Тверская область,г Тверь,2020-10-06,Нет,Нет,Нет,28.0,11326386
381235,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ ДСК""",Малое предприятие,1212500001010,2543154857,25 - Приморский край,,2023-10-02,Нет,Нет,Нет,51.0,11495993
381240,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ ИНЖМАГИСТРАЛЬ""",Малое предприятие,1107746946603,7725708763,77 - г.Москва,,2016-01-08,Да,Нет,Нет,52.0,4031396
381249,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ ЛИПЕЦКТЯЖСТРОЙ""",Малое предприятие,1134827004850,4826088951,48 - Липецкая область,г Липецк,2016-01-08,Да,Нет,Нет,98.0,8076438
381288,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ СТРОЙ-ПРОГРЕСС""",Малое предприятие,1147328004560,7328080433,73 - Ульяновская область,г Ульяновск,2016-01-08,Нет,Нет,Нет,26.0,8862781
381299,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ ТЕХНОСТРОЙ""",Малое предприятие,1169658033489,6685110034,66 - Свердловская область,г Екатеринбург,2016-01-08,Нет,Нет,Нет,15.0,9682937
381394,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ-101""",Малое предприятие,1182130008081,2130203044,21 - Чувашская Республика - Чувашия,г Чебоксары,2018-10-08,Нет,Нет,Нет,48.0,10750144
381397,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ-103""",Малое предприятие,1182130008092,2130203037,21 - Чувашская Республика - Чувашия,г Чебоксары,2018-10-08,Нет,Нет,Нет,27.0,10750147
